PRIDE	RAW file	RAW file version	Creation date	Operator	Number of instruments	Description	Instrument model	Instrument name	Serial number	Software version	major	minor	Firmware version	Units	Mass resolution	Number of scans	Number of ms2 scans	Scan range	Time range	Mass range	Scan filter (first scan)	Scan filter (last scan)	Total number of filters	Sample name	Sample id	Sample type	Sample comment	Sample vial	Sample volume	Sample injection volume	Sample row number	Sample dilution factor	Sample barcode	Title	Repos	Species	Instrument	Publication	LabHead	Announce.Date	year	month	day	Keywords
PXD016331	.temp.raw	66	19/04/2019 02:36:35	Orbitrap_Fusion	2		Orbitrap Fusion	Orbitrap Fusion	EXR-FSN10126	3.0.2041	3	0		None	0.500	22534	17037	1-22534	0-79.49	140-2000	FTMS + c NSI Full ms [350.0000-1200.0000]	FTMS + c NSI Full ms [350.0000-1200.0000]	4854			Unknown		RB8	0	2	6	0		Quantitative Live Cell Imaging Reveals Differential Manipulation of Rab11A Transport Pathways by Influenza virus and RSV	PRIDE	Influenza A virus (A/California/07/2009), Homo sapiens 	Orbitrap Fusion	Bhagwat et al. (2020)	Benjamin A. Garcia	2020-01-14	2020	01	14	influenza virus, microtubules, Rab11A, endosomes, assembly, RNA, live-cell imaging, light-sheet microscopy, fluorescence microscopy, viral RNA, motor transport, vesicle tracking, 
PXD016376	.temp.raw	66	30/08/2018 19:14:19	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10329	3.0.2041	3	0		None	0.500	66294	57183	1-66294	0.02-98.99	110-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	7538	blank	1	Unknown		B3	0	0.5	0	1		The Aspartic Protease Ddi1 Contributes to DNA-Protein Crosslink Repair in Yeast	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion	Dataset with its publication pending	Robbie Loewith	2019-11-22	2019	11	22	Biological, S.cerevisiae, crosslink repair, Ddi1, SILAC, LC-MSMS, 
PXD016383	.temp.raw	66	17/05/2018 22:15:44	Orbitrap_Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10303	3.0.2041	3	0		None	0.500	47348	36768	1-47348	0-80.01	105-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	ITMS + c NSI r d Full ms2 1342.9314@cid35.00 [364.0000-2000.0000]	7163		13	Unknown		13	0	10	22	1		Toxoplasma MYR1 Immunoprecipitations	PRIDE	Toxoplasma gondii RH, Homo sapiens 	Orbitrap Fusion	Cygan et al. (2020)	John C. Boothroyd	2020-02-19	2020	02	19	Toxoplasma, MYR1, 
PXD016398	.temp.raw	66	01/06/2019 06:07:23	Orbitrap Fusion	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA2-MP07	3.1.2412.17	3	1		None	0.500	49245	22206	1-49245	0-240.11	91-2000	FTMS + c NSI Full ms [350.0000-1400.0000]	FTMS + c NSI d Full ms3 565.4103@cid35.00 459.0081@hcd55.00 [100.0000-1000.0000]	23594	DF_Osteoblast_Zika_repeat_TMT_Frac3	1	Unknown		D3	0	5	2	1		Impact of Zika Virus on the Human Type I Interferon Osteoimmune Response	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Drouin et al. (2020)	Dahlene N. Fusco MD PhD	2020-11-02	2020	11	02	osteoimmunology, osteoblast, interferon, interferon effector, HELZ2, Zika virus, Lumos, 
PXD016400	.temp.raw	66	20/12/2017 13:02:16	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20243	3.0.2041	3	0		None	0.500	65948	50655	1-65948	0-90	110-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	6071		1	Unknown		C1	0	2	1	1		Human hela cells mitochondrial LC-MS	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Meng et al. (2020)	Kun Meng	2020-01-29	2020	01	29	mitophagy, 
PXD016403	.temp.raw	66	09/06/2019 21:10:22	Orbitrap Lumos	4		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20589	3.1.2412.25	3	1		None	0.500	32915	24477	1-32915	0-89.99	100-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	FTMS + p NSI Full ms [375.0000-1500.0000]	6179		RA1	Unknown		GF5	0	2	4	1		Escherichia coli sucrose gradient fractionation	PRIDE	Escherichia coli	Orbitrap Fusion Lumos	Sueki et al. (2020)	Athanasios Typas	2020-02-19	2020	02	19	Technical, Biological, Escherichia coli, 
PXD016415	.temp.raw	66	16/02/2019 19:34:08	Orbitrap Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20371	3.0.2022.4	3	0		None	0.500	75714	70001	1-75714	5.02-130.03	91-2000	FTMS + p NSI Full ms [350.0000-1500.0000]	ITMS + c NSI r d Full ms2 664.8613@cid35.00 [178.0000-1340.0000]	9692			Unknown	SB18-48-28;Apte-Martin 37TPa	GE6	0	5	7	0		Protein components of infective endocarditis vegetations and insights on their proteolysis using mass spectrometry-based N-terminomics	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Martin et al. (2020)	Suneel Apte	2020-07-29	2020	07	29	Infective endocarditis, TAILS, IE, Staph A., 
PXD016428	.temp.raw	66	13/05/2019 16:56:12	Orbitrap Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20437	3.0.2022.16	3	0		None	0.500	20629	19108	1-20629	0-78.03	120-2000	FTMS + p NSI Full ms [800.0000-2000.0000]	FTMS + c NSI d Full ms2 1097.2137@hcd30.00 [120.0000-2000.0000]	4066		1	Unknown		b1	0	6	0	1		Glyco-CPLL: an integrated method for in-depth and comprehensive N-glycoproteome profiling of human plasma	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Zhang et al. (2019)	Yong Zhang	2020-01-09	2020	01	09	Mass Spectrometry, Papillary Thyroid Carcinoma, N-glycoproteomics, Combinatorial Peptide Ligands Library, 
PXD016473	.temp.raw	66	13/05/2019 21:25:35	Dell9020Base	1		Orbitrap Fusion	Orbitrap Fusion	FSN10251	3.1.2412.25	3	1		None	0.500	15373	12146	1-15373	0-75	120-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	FTMS + p NSI Full ms [375.0000-1500.0000]	4141		Pl.p.ina 0.4	Unknown		F6	0	18	0	1		Proteomic analysis of serum small extracellular vesicles of individual mice for longitudinal investigations	PRIDE	Mus musculus 	Orbitrap Fusion	Anastasi et al. (2020)	Liam A. McDonnell	2020-11-30	2020	11	30	Small extracellular vesicles, proteomics, glioblastoma, serum, mouse, size exclusion chromatography, biomarker discovery, 
PXD016529	.temp.raw	66	28/11/2018 04:08:15	Orbitrap Fusion	4		Orbitrap Fusion	Orbitrap Fusion	FSN10172	3.1.2412.24	3	1		None	0.500	23375	17207	1-23375	0-120	120-2000	FTMS + c NSI Full ms [400.0000-1500.0000]	FTMS + c NSI Full ms [400.0000-1500.0000]	3562		1	Unknown	Abhijit Saha - -UV 03- digest liquide - 001	RC3	0	5	8	1		Nucleolin uses its RBD2 domain to recognize long-loop G-Quadruplexes from human minisatellite CEB25	PRIDE	Homo sapiens 	Orbitrap Fusion	Saha et al. (2020)	Damarys Loew	2020-03-19	2020	03	19	Nucleolin, G-Quadruplex, RNA binding domain, RGG domain, long loop, proteomics, photo-crosslinking, G4-ligands, 
PXD016552	.temp.raw	66	08/12/2018 11:23:17	superuser	4		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20435	3.1.2412.24	3	1		None	0.500	105687	91954	1-105687	0-212.01	180-2000	FTMS + p NSI Full ms [350.0000-1400.0000]	ITMS + c NSI r d Full ms2 1247.9600@hcd30.00 [180.0000-2000.0000]	8889		1	Unknown		GA5	0	2	5	1		Monosomes actively translate synaptic mRNAs in neuronal processes	PRIDE	Rattus norvegicus 	Orbitrap Fusion Lumos	Biever et al. (2020)	Julian Langer	2020-01-27	2020	01	27	Biological, monosomes, mRNA, neuronal processes, protein synthesis, 
PXD016573	.temp.raw	66	05/10/2019 19:22:38	Orbitrap Lumos	2		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20671	3.1.2412.25	3	1		None	0.500	6497	4361	1-6497	0-65.02	110-2000	FTMS + c NSI Full ms [350.0000-1350.0000]	FTMS + c NSI d Full ms2 1071.5071@hcd37.50 [110.0000-2000.0000]	1762		1	Unknown		BA3	0	0.5	3	1		Single Cell Proteomics and the Carrier Proteome Effect	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Cheung et al. (2020)	Christopher M. Rose	2020-12-15	2020	12	15	Human, LC-MSMS, Single Cell Proteomics, 
PXD016580	.temp.raw	66	19/09/2019 16:27:36	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA2-MP05-1	3.1.2412.17	3	1		None	0.500	9336	7426	1-9336	0-40	110-2000	FTMS + c NSI Full ms [500.0000-850.0000]	FTMS + c NSI Full ms [500.0000-850.0000]	2001		ey103_x	Unknown		B2	0	1	1	1		Phosphorylation ratio of pT vs pY ERK in MEK phosphorylation reaction determined by mass spectrometry	PRIDE	Rattus norvegicus , Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Martin W�hr	2020-01-13	2020	01	13	Recombinant, Kinase reaction, LC-MSMS, Orbitrap Fusion Lumos, 
PXD016673	.temp.raw	66	11/05/2018 01:33:07	Orbitrap_Lumos	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20174	3.0.2041	3	0		None	0.500	9400	2306	1-9400	0.01-50	220-2000	FTMS + p NSI Full ms [400.0000-2000.0000]	FTMS + p NSI Full ms [400.0000-2000.0000]	1278		1	Unknown		BD3	0	1	10	1		Affinity Purification experiments for 24 human Bromodomain proteins involved in DNA repair and genome integrity (part 2 of 2)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Kim et al. (2019)	Kyle M. Miller	2019-12-12	2019	12	12	AP-MS, Human, Bromodomain, Chromatin, Homologous Recombination, DNA repair, DNA damage response, R-loops, 
PXD016681	.temp.raw	66	06/11/2019 16:13:39	Administrator	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20521	3.3.2782.32	3	3		None	0.500	14178	10617	1-14178	0.01-76	79-2000	FTMS + p NSI Full ms [300.0000-1500.0000]	FTMS + p NSI Full ms [300.0000-1500.0000]	3259			Unknown		B4	0	2	6	1		NIMA-related kinase 9–mediated phosphorylation of the microtubule-associated LC3B protein at Thr-50 suppresses selective autophagy of p62/sequestosome 1	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Shrestha et al. (2019)	Terje Johansen	2020-01-23	2020	01	23	Microtubule-associated LC3B protein, In vitro phosphorylation, Autophagy, 
PXD016686	.temp.raw	66	22/07/2019 04:51:05	Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10304	3.1.2412.25	3	1		None	0.500	28712	23438	1-28712	0-115.01	130-2000	FTMS + p NSI Full ms [350.0000-2000.0000]	FTMS + c NSI d Full ms2 1815.4976@hcd38.00 [130.0000-2000.0000]	10661	H2O2_5_SB_1	200591	Unknown		1:C,7	0	5	2	0		Engineering Af1521 macro domain increases ADP-ribose binding affinity and leads to the identification of more ADP-ribosylated proteins	PRIDE	Homo sapiens 	Orbitrap Fusion	Nowak et al. (2020)	Michael O. Hottiger	2020-10-20	2020	10	20	Biological, ADP-ribosylation, AP-MS, LC-MS/MS, Af1521 macro domain, 
PXD016688	.temp.raw	66	21/09/2018 21:47:31	proteomics	1		Orbitrap Fusion	Orbitrap Fusion	FSN10116	3.0.2022.16	3	0		None	0.500	156861	137179	1-156861	0-179.99	91-2000	FTMS + p NSI Full ms [350.0000-1500.0000]	FTMS + p NSI Full ms [350.0000-1500.0000]	12585		A1	Unknown		b3	0	10	2	1		Proteomic analysis of CRISPR Cas 9 mediated mdig deletion in triple negative breast cancer cells	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Fei Chen	2020-12-09	2020	12	09	mdig, mass spectrometry, signaling pathways, breast cancer, biomarker, 
PXD016700	.temp.raw	66	04/03/2019 08:52:38	Lumos	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20405	3.0.2022.16	3	0		None	0.500	77505	73843	1-77505	0-75	100-2000	FTMS + p NSI Full ms [375.0000-1600.0000]	ITMS + c NSI r d Full ms2 704.2003@hcd30.00 [100.0000-1419.0000]	9922		1	Unknown		GA3	0	1	5	1		Affinity Purification experiments for 24 human Bromodomain proteins involved in DNA repair and genome integrity (part 1 of 2).	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Kim et al. (2019)	Kyle M. Miller	2019-12-12	2019	12	12	AP-MS, Human, Bromodomain, Chromatin, Homologous Recombination, DNA repair, DNA damage response, R-loops, 
PXD016701	.temp.raw	66	02/08/2018 22:45:44	Orbitrap_Lumos	4		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20105	3.0.2022.16	3	0		None	0.500	86378	58190	1-86378	0-185	100-2000	FTMS + p NSI Full ms [350.0000-1500.0000]	FTMS + p NSI Full ms [350.0000-1500.0000]	6941		1	Unknown		re6	0	5	1	1		SPOCD1 is a novel executor of piRNA-directed DNA methylation that links MIWI2 to the de novo DNA methylation machiner	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Donal O'Carroll	2020-06-21	2020	06	21	mouse foetal testes, AP-MS, 
PXD016718	.temp.raw	66	22/11/2019 09:11:33	Orbitrap_Lumos	4		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20148	3.3.2782.32	3	3		None	0.500	77353	35374	1-77353	0-120	100-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + c NSI d Full ms3 1134.6040@cid35.00 751.1160@hcd55.00 [100.0000-500.0000]	36118		1	Unknown		GA1	0	2	0	1		BRAWNIN: A sORF-encoded Peptide Essential for Vertebrate Mitochondrial Complex III	PRIDE	Mus musculus , Danio rerio (Brachydanio rerio)	Orbitrap Fusion Lumos	Zhang et al. (2020)	David Stroud	2020-03-18	2020	03	18	sORF, mitochondria, OXPHOS, uORF, zebrafish, 
PXD016731	.temp.raw	66	02/06/2018 12:49:31	Lumos	7		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20334	3.0.2022.16	3	0		None	0.500	90370	87787	1-90370	4.01-135	200-2000	FTMS + p NSI Full ms [400.0000-1200.0000]	FTMS + c NSI Full ms2 1188.7354@hcd32.00 [200.0000-2000.0000]	35		BA1	Unknown		RB3	0	4	12	1		Rhein, a novel Histone Deacetylase (HDAC) inhibitor with antifibrotic potency in human myocardial fibrosis	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Barbosa et al. (2020)	Birgit Knebel	2020-03-22	2020	03	22	Biomedical, Cardiac remodeling, fibrosis, HDAC inhibition, hypoxia, secretome, Lumos, DIA, Spectronaut, 
PXD016735	.temp.raw	66	08/03/2019 23:35:53	Lumos	4		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20384	3.1.2412.25	3	1		None	0.500	44007	37657	1-44007	0-90	100-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	FTMS + p NSI Full ms [375.0000-1500.0000]	5649		1	Unknown		BA1	0	2	0	1		Enhanced interactome capture (eRIC) of steady-state and arsenite stressed HuH7 cell cytoplasmic and nuclear fractions	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Backlund et al. (2020)	Andreas E. Kulozik	2020-04-06	2020	04	06	Biological, Human, cell culture, arsenite, 
PXD016746	.temp.raw	66	14/12/2018 05:07:10	Administrator	4		Orbitrap Fusion	Orbitrap Fusion	CAL-MP13-1	3.0.2041	3	0		None	0.500	11733	7442	1-11733	0-45	52-2000	FTMS + p NSI Full ms [197.0777-1500.0000]	FTMS + p NSI Full ms [197.0777-1500.0000]	3771		BB4	Unknown		GA6	0	2	13	1		Coordination and assembly of protein complexes encoded across mitochondrial and nuclear genomes is assisted by mtCLPP in Arabidopsis thaliana.	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	Orbitrap Fusion	Petereit et al. (2020)	Andrew Harvey Millar	2020-09-13	2020	09	13	mitochondrial genome,nuclear genome,CLPP, protease,Complex I, 
PXD016748	.temp.raw	66	25/12/2018 15:31:12	Orbitrap Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20450	3.0.2041	3	0		None	0.500	61789	59414	1-61789	0.01-60.01	120-2000	FTMS + p NSI Full ms [197.0777-1650.0000]	ITMS + c NSI r d Full ms2 566.9019@hcd30.00 [120.0000-1144.0000]	10203		A1	Unknown		D2	0	5	1	1		grape leaves polyphenols inhibit breast cancer malignancy	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Floris et al. (2020)	Maria Lauda Tomasi	2020-05-26	2020	05	26	breast cancer, polyphenols, 
PXD016778	.temp.raw	66	16/10/2019 15:29:23	Orbitrap Lumos	2		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20548-V295-V0034	3.1.2412.25	3	1		None	0.500	18609	10570	1-18609	0.01-65	140-2000	FTMS + p NSI Full ms [350.0000-1400.0000]	FTMS + p NSI Full ms [350.0000-1400.0000]	3937		9	Unknown		GB1	0	3	2	1		Semi-Synthesis of an Evasin from Tick Saliva Reveals a Critical Role of Tyrosine Sulfation for Chemokine Binding and Inhibition	PRIDE	Amblyomma cajennense	Orbitrap Fusion Lumos	Franck et al. (2020)	Mark Larance	2020-05-14	2020	05	14	Sulfation, Synthetic, Evasin, Chemokine, 
PXD016813	.temp.raw	66	15/11/2018 21:45:13	Orbitrap_Lumos	6		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20148	3.0.2041	3	0		None	0.500	27179	19726	1-27179	0-65	110-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	5329		1	Unknown		rc5	0	4	0	1		Arginine and lysine methylproteomes of Giardia duodenalis	PRIDE	Giardia lamblia ATCC 50803	Orbitrap Fusion Lumos	Emery-Corbin et al. (2020)	Aaron R Jex	2020-08-07	2020	08	07	Giardia, methylation, lysine methylation, arginine methylation, PTM, 
PXD016826	.temp.raw	66	07/12/2018 13:47:35	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10229	3.0.2041	3	0		None	0.500	43192	33652	1-43192	0-140	110-2000	FTMS + p NSI Full ms [350.0000-1550.0000]	FTMS + p NSI Full ms [350.0000-1550.0000]	6892		RA1	Unknown		RC4	0	8	12	1		Human POT1 Prevents Severe Telomere Damage Instability Induced by Homology Directed DNA Repair	PRIDE	Homo sapiens 	Orbitrap Fusion	Glousker et al. (2020)	Joachim Lingner	2020-10-21	2020	10	21	Biological, Telomeres, Homology-directed DNA repair, affinity purification, mass spectrometry, tandem mass tags, 
PXD016850	.temp.raw	66	17/12/2017 22:19:42	epfl-pcf	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20231	3.0.2041	3	0		None	0.500	61370	47172	1-61370	10.01-149.99	110-2000	FTMS + p NSI Full ms [300.0000-1500.0000]	FTMS + p NSI Full ms [300.0000-1500.0000]	7306		1	Unknown		RD4	0	8	25	1		Temporal proteomic analyses of the protein contents found in the insoluble fraction of the a-synuclein PFF-treated neurons	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Hilal Lashuel	2020-01-15	2020	01	15	Biomedical, Mouse Primary neurons, 
PXD016862	.temp.raw	66	11/12/2019 03:56:08	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20308	3.1.2412.25	3	1		None	0.500	60804	53381	1-60804	0.01-120	100-2000	FTMS + p NSI Full ms [350.0000-1500.0000]	FTMS + c NSI d Full ms2 368.8107@hcd32.00 [100.0000-748.0000]	7985			Unknown	Duc Duong	E3	0	2	0	0		Posttranslational modifications mediate the structural diversity of tauopathy strains	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Arakhamia et al. (2020)	Nicholas Seyfried	2020-02-14	2020	02	14	CBD, TAU, Mass spectrometry, 
PXD016918	.temp.raw	66	17/08/2018 11:27:11	Orbitrap_Lumos	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20302	3.1.2412.8	3	1		None	0.500	7356	442	1-7356	0.01-155	200-2000	FTMS + p NSI sid=5.00 Full ms [400.0000-750.0000]	FTMS + p NSI sid=5.00 Full ms [400.0000-750.0000]	8		2ug WT H3.3 RP2 in 6.7ul. 40 bias 28CV (68) fixed throughout. 5L/min. 5.52kV. Pos 6 	Unknown		BC1	0	6.7	0	1		Middle-Down Proteomic Analyses with Ion Mobility Separations of Endogenous Isomeric Proteoforms	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Shliaha et al. (2020)	Ole N Jensen	2020-04-02	2020	04	02	histones, middle down, FAIMS, ETD, 
PXD016921	.temp.raw	66	04/04/2019 22:56:28	Thermo Scientific	2		Sodium	Sodium	EP41	3.3.240	3	3		None	0.500	18518	7548	1-18518	0-160	100-2000	FTMS + p NSI Full ms [375.0000-1800.0000]	FTMS + p NSI Full ms [375.0000-1800.0000]	1950		1	Unknown		RD1	0	1	0	1		Improved Single Cell Proteome Coverage Using Narrow-Bore Packed NanoLC Columns and Ultrasensitive Mass Spectrometry	PRIDE	Homo sapiens 	Orbitrap Eclipse	Cong et al. (2020)	Ryan T kelly	2020-02-25	2020	02	25	Cancer (B/D-HPP), Biology/Disease-Driven Human Proteome Project (B/D-HPP), Human Proteome Project, Technical, Single cell, narrow-bore LC, Eclipse, 
PXD016940	.temp.raw	66	24/12/2019 05:16:02	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20153	3.3.2782.34	3	3		None	0.500	47551	21689	1-47551	0-90	106-2000	FTMS + c NSI Full ms [350.0000-1400.0000]	FTMS + c NSI Full ms [350.0000-1400.0000]	25192	jli-8cell_T1_F24	Sample048	Unknown		D4	0	1	8	0		TMTpro16plex Isobaric Labeling Reagents: Attaining New Sample Multiplexing Heights and New Cellular Proteome Depths in Quantitative Proteomics	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Li et al. (2020)	Steven P. Gygi	2020-03-19	2020	03	19	Technical, Human, cell lines, SPS-MS3, TMTpro, proteomics, 
PXD016957	.temp.raw	66	06/05/2019 16:38:14	Orbitrap_Lumos	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20117	3.1.2412.24	3	1		None	0.500	19929	16271	1-19929	0-90.01	120-2000	FTMS + p NSI Full ms [350.0000-1550.0000]	FTMS + p NSI d sa Full ms2 354.8883@etd55.89 354.8883@hcd25.00 [120.0000-1075.0000]	5007		RA1	Unknown		RB8	0	9	1	1		Optimized MeOH/MTBE-based Protein Precipitation and Lipid Removal Enables High Enrichment of Low Molecular Weight Peptides and Proteins from Human Plasma	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Li et al. (2020)	Fuquan Yang	2020-07-07	2020	07	07	Technical, Human, plasma, LC-MS/MS, 
PXD016958	.temp.raw	66	07/02/2019 17:46:44	Thermo Scientific	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20265	3.1.2412.24	3	1		None	0.500	31900	18024	1-31900	8-128	110-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	FTMS + p NSI Full ms [375.0000-1500.0000]	3303			Unknown		GC4	0	14	28	1		Proteomic analysis of microdissected renal tubules	PRIDE	Rattus norvegicus 	Orbitrap Fusion Lumos	Limbutara, Chou & Knepper (2020)	Mark A. Knepper	2020-04-20	2020	04	20	Biological, Kidney, Microdissection, Physiology, LC-MS/MS, Renal tubule, 
PXD016962	.temp.raw	66	16/04/2017 17:26:42	Orbitrap_Lumos	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20250	3.0.1928	3	0		None	0.500	98472	90298	1-98472	0-90	120-2000	FTMS + p NSI Full ms [300.0000-1350.0000]	FTMS + c NSI d Full ms2 302.8566@hcd30.00 [120.0000-1525.0000]	9642		1	Unknown		BE3	0	0.3	18	1		Genome-scale transcription-translation mapping reveals features of Zymomonas mobilis transcription units and promoters	PRIDE	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Orbitrap Fusion Lumos	Dataset with its publication pending	Robert Landick	2020-07-09	2020	07	09	Zymomonas mobilis, proteogenomics, shotgun proteomics, multiomics, 
PXD017020	.temp.raw	66	10/07/2019 11:36:50	Orbitrap_Lumos	2		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20113	3.1.2412.25	3	1		None	0.500	44113	29573	1-44113	0-145	120-2000	FTMS + p NSI Full ms [400.0000-1450.0000]	FTMS + p NSI Full ms [400.0000-1450.0000]	6359		06	Unknown		RD6	0	3.5	2	1		Crosslinking mass spectrometry (CLMS) analysis of monoubiquitinated FANCD2-FANCI complex	PRIDE	Gallus gallus 	Orbitrap Fusion Lumos	Alc�n et al. (2020)	Juri Rappsilber	2020-03-09	2020	03	09	Biological, crosslinking mass spectrometry, FANCD2-FANCI comple, monoubiquitination, fanconi anemia pathway, 
PXD017025	.temp.raw	66	02/11/2019 13:30:52	Orbitrap_Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10369	3.1.2412.17	3	1		None	0.500	76172	65051	1-76172	0-220	120-2000	FTMS + p NSI Full ms [310.0000-1510.0000]	FTMS + p NSI Full ms [310.0000-1510.0000]	8643		A2	Unknown	IS1526 TMT2, bRP, 2ug injection	B8	20	4	1	1		Comprehensive proteomic characterization reveals subclass-specific molecular aberrations within triple-negative breast cancer	PRIDE	Homo sapiens 	Orbitrap Fusion	Kosok et al. (2020)	Jayantha Gunaratne	2020-03-03	2020	03	03	Biomedical, Breast cancer, triple-negative, TNBC, proteomics, mass spectrometry, kinase, protease, 
PXD017050	.temp.raw	66	06/03/2019 02:48:45	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20225	3.1.2412.17	3	1		None	0.500	76566	34757	1-76566	0-179.99	100-2000	FTMS + c NSI Full ms [400.0000-1400.0000]	FTMS + c NSI Full ms [400.0000-1400.0000]	36856	hp_oxiepi_y1		Unknown		B7	0	3	3	0		A quantitative tissue-specific landscape of protein redox regulation during aging	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Xiao et al. (2020)	Edward Chouchani	2020-02-27	2020	02	27	Biological, CPT, cysteine proteomics, redox, aging, 
PXD017134	.temp.raw	66	07/06/2019 21:23:52	Lumos	4		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20384	3.1.2412.25	3	1		None	0.500	32771	26469	1-32771	4.01-90	100-2000	FTMS + p NSI Full ms [300.0000-1500.0000]	FTMS + p NSI Full ms [300.0000-1500.0000]	5394		1	Unknown		RB5	0	7	3	1		A genetic analysis reveals novel histone residues required for transcriptional reprogramming upon stress	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion Lumos	Vi�itez et al. (2020)	Eul�lia de Nadal	2020-05-26	2020	05	26	Biological, phosphoproteomics, histone, PTMs, 
PXD017139	.temp.raw	66	31/05/2019 15:51:19	Orbitrap Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20462	3.0.2041	3	0		None	0.500	114835	103979	1-114835	0-240	120-3000	FTMS + p NSI Full ms [375.0000-2000.0000]	FTMS + c NSI d Full ms2 803.0446@hcd33.00 [120.0000-3000.0000]	11586			Unknown		c5	0	3	2	1		Site-specific N-glycan Analysis of Neonatal Mouse Hearts	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Li et al. (2020)	Jun Li	2020-05-26	2020	05	26	Neonatal mouse heart, Glycoproteomics, Intact glycopeptides, Site-specific glycosylation, LC-MS/MS, 
